Trial,Mean_Score,Std_Score
Trial_118,0.018639010649999975,0.026177337016337673
Trial_119,0.018639010649999975,0.026177337016337673
Trial_120,0.01840012543333331,0.026248018296453263
Trial_121,0.01828061616666664,0.02630425643386315
Trial_122,0.017437008249999972,0.0254999463371264
Trial_123,0.017386617416666635,0.025520028976093453
Trial_124,0.017288970749999973,0.02556764258567299
Trial_125,0.017131269049999974,0.025636901913772724
Trial_126,0.016283240299999974,0.02496098316445109
Trial_127,0.015667377799999972,0.024592665699045255
Trial_128,0.015478432383333303,0.0246034199369875
Trial_129,0.0153212211333333,0.024500450774612444
Trial_130,0.014470406649999976,0.023789524458795154
Trial_131,0.014372759983333311,0.02382864716895102
Trial_132,0.014230172483333314,0.02387152544392217
Trial_133,0.014230172483333314,0.02387152544392217
