vds,wg,nfing,gdg,gsg,batchNum,vgs,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM,area
16,37.5,6,52,33,135,-1.2,2.7029900000000002,-10.745239999999999,-30.20614,73.31825,1.43416,10.87223,-50.88377,27.84028,-3.53,11.2967,-17.12574,8.02079,225.0
16,37.5,6,52,48,974,-1.2,2.8782,-12.02922,-30.2564,75.25399,1.31847,10.51562,-50.64125,28.11303,-3.4647099999999997,10.94903,-18.46281,8.018130000000001,225.0
16,37.5,6,52,78,975,-1.2,2.7939599999999998,-14.372979999999998,-30.35192,74.36731999999999,1.21007,9.91403,-50.84825,27.98402,-3.3052,10.406189999999999,-19.7227,8.02309,225.0
16,50.0,2,22,33,21,-1.2,2.56149,-12.005289999999999,-31.075459999999996,78.32412,1.48577,11.20737,-51.589529999999996,24.08493,-3.4073900000000004,11.66512,-14.117870000000002,8.024389999999999,100.0
16,50.0,2,22,48,22,-1.2,2.55735,-12.473230000000001,-31.07831,78.38799,1.44118,11.13376,-51.714240000000004,24.07791,-3.4112,11.59445,-14.76105,8.023530000000001,100.0
16,50.0,2,22,78,23,-1.2,2.55208,-13.37945,-31.080440000000003,77.75564,1.37542,11.01529,-49.995059999999995,24.068939999999998,-3.3957300000000004,11.48984,-15.30206,8.02229,100.0
16,50.0,2,52,33,137,-1.2,2.70602,-13.01325,-31.12733,73.44118,1.50882,10.821810000000001,-49.980059999999995,24.3233,-3.18312,11.35628,-15.21297,8.02287,100.0
16,50.0,2,52,48,24,-1.2,2.68432,-13.645420000000001,-31.15294,76.18370999999999,1.47095,10.66077,-49.633070000000004,24.288339999999998,-3.16411,11.19714,-15.47845,8.02401,100.0
16,50.0,2,52,78,25,-1.2,2.6711,-14.90675,-31.09742,74.38558,1.3908200000000002,10.43383,-49.67592,24.26691,-3.10242,10.99092,-16.05809,8.02012,100.0
16,50.0,4,22,33,26,-1.2,2.55815,-11.661430000000001,-30.35169,81.8718,1.51716,11.187330000000001,-50.79999,27.08956,-3.4488,11.65192,-16.766,8.01577,200.0
16,50.0,4,22,48,27,-1.2,2.54696,-12.46619,-30.33186,81.98423000000001,1.44802,11.02369,-50.97587,27.070520000000002,-3.4418,11.49962,-17.96295,8.02484,200.0
16,50.0,4,22,78,28,-1.2,2.7359299999999998,-14.175120000000001,-30.36631,78.00185,1.34705,10.749139999999999,-50.35655,27.38135,-3.39656,11.263010000000001,-18.6928,8.01682,200.0
16,50.0,4,52,33,138,-1.2,2.72361,-12.58511,-30.41413,75.45061,1.52773,10.92173,-51.151959999999995,27.361759999999997,-3.2899199999999995,11.44561,-18.04187,8.0206,200.0
16,50.0,4,52,48,29,-1.2,2.70138,-13.6403,-30.44248,77.07847,1.45208,10.684389999999999,-50.25496,27.32615,-3.23763,11.21844,-18.48861,8.02095,200.0
16,50.0,4,52,78,30,-1.2,2.66261,-15.298470000000002,-30.467259999999996,75.71101,1.36155,10.28284,-50.38882,27.263379999999998,-3.13196,10.85859,-19.28163,8.02465,200.0
16,62.5,2,22,33,981,-1.2,2.70687,-13.04759,-30.997090000000004,81.41865,1.5388,10.75606,-49.9719,25.293779999999998,-3.2243,11.312510000000001,-16.20597,8.01885,125.0
