,,,,,batchNumber,VGS,fT_plt,fmax_plt,nf_min,gain
,,,,,min,min,min,min,min,min
VDS,Wg,nfing,gdg_val,gsg_val,,,,,,
16,37.5,8,37,48,546,-1.6,30.51953027,111.1255294,-1.2334811,0.28297740000000005
16,37.5,8,37,63,547,-1.6,30.33225523,111.3029065,-1.2299846,0.14421589999999998
16,37.5,8,37,78,548,-1.6,30.17761457,111.438067,-1.2271581,0.0117917
16,37.5,8,52,33,549,-1.6,30.64352323,110.6871081,-1.2306933999999998,-0.0144287
16,37.5,8,52,48,550,-1.6,30.39241971,110.9476914,-1.225017,-0.17773060000000002
16,37.5,8,52,63,551,-1.6,30.19662633,111.1304013,-1.2207033,-0.32670190000000005
16,37.5,8,52,78,552,-1.6,30.03508466,111.269895,-1.2172015,-0.4666732
16,50.0,2,22,33,61,-1.6,30.6325266,109.0407538,-1.2553169,3.0768269
16,50.0,2,22,48,62,-1.6,30.42315641,109.3102119,-1.251466,3.052573
16,50.0,2,22,63,63,-1.6,30.25462303,109.4993734,-1.248563,3.0322803
16,50.0,2,22,78,64,-1.6,30.11177917,109.6437666,-1.2462152,3.014616
16,50.0,2,37,33,65,-1.6,30.54493343,108.73934409999998,-1.2516471000000002,2.8257881
16,50.0,2,37,48,66,-1.6,30.3267761,109.0192866,-1.2469521,2.7945969
16,50.0,2,37,63,67,-1.6,30.15138638,109.2159923,-1.2433637,2.7687408
16,50.0,2,37,78,68,-1.6,30.00286874,109.3668498,-1.2404309999999998,2.7463694
16,50.0,2,52,33,69,-1.6,30.44784814,108.5373577,-1.2452941000000002,2.5469943
16,50.0,2,52,48,70,-1.6,30.21924342,108.8224854,-1.2395332,2.50769
16,50.0,2,52,63,71,-1.6,30.03572172,109.02444540000002,-1.2350847,2.4753343
16,50.0,2,52,78,72,-1.6,29.88044481,109.1790517,-1.2314211000000002,2.4474697
16,50.0,4,22,33,229,-1.6,31.08918763,109.0432676,-1.2577408,2.418702
16,50.0,4,22,48,230,-1.6,30.89234659,109.3127279,-1.2539651000000005,2.344645
16,50.0,4,22,63,231,-1.6,30.7351079,109.5018912,-1.2511290000000002,2.2750239
16,50.0,4,22,78,232,-1.6,30.60278595,109.6462849,-1.2488425,2.2081047000000003
16,50.0,4,37,33,233,-1.6,31.00313964,108.7418863,-1.2545548999999998,2.1273992
16,50.0,4,37,48,234,-1.6,30.79800849,109.0217961,-1.2500346000000002,2.0411613
16,50.0,4,37,63,235,-1.6,30.63419206,109.2184885,-1.2466,1.9617618
16,50.0,4,37,78,236,-1.6,30.49649639,109.3693359,-1.2438069,1.886609
16,50.0,4,52,33,237,-1.6,30.90802055,108.5399324,-1.2487838,1.8206191000000005
16,50.0,4,52,48,238,-1.6,30.6928268,108.8250348,-1.2433173,1.7212715
16,50.0,4,52,63,239,-1.6,30.521463399999995,109.0269632,-1.2391265,1.631499
16,50.0,4,52,78,240,-1.6,30.37743058,109.18155559999998,-1.2356958,1.5477215
16,50.0,6,22,33,397,-1.6,31.82364626,109.0436426,-1.2594266,1.2384638
16,50.0,6,22,48,398,-1.6,31.64782908,109.3130977,-1.2557851999999998,1.149746
16,50.0,6,22,63,399,-1.6,31.50984059,109.502256,-1.2530669,1.0644618
16,50.0,6,22,78,400,-1.6,31.39531757,109.6466453,-1.2508871,0.9812151
16,50.0,6,37,33,401,-1.6,31.739238500000006,108.7422677,-1.2570332,0.8996487
16,50.0,6,37,48,402,-1.6,31.55570589,109.022169,-1.2528101,0.7995418000000001
16,50.0,6,37,63,403,-1.6,31.41178209,109.2188565,-1.2496347,0.7056439
16,50.0,6,37,78,404,-1.6,31.29257012,109.3696998,-1.2470758,0.6155769
16,50.0,6,52,33,405,-1.6,31.64609413,108.5403218,-1.2522223,0.5500639
16,50.0,6,52,48,406,-1.6,31.45364709,108.8254163,-1.2472486,0.4379102
16,50.0,6,52,63,407,-1.6,31.3026478,109.02733700000002,-1.2434865,0.3350349
16,50.0,6,52,78,408,-1.6,31.17756146,109.1819249,-1.2404423999999998,0.2379548
16,50.0,8,22,33,565,-1.6,31.75501668,109.0435103,-1.2601487,-0.1975473
16,50.0,8,22,48,566,-1.6,31.59516376,109.3129638,-1.2565497,-0.30055
16,50.0,8,22,63,567,-1.6,31.47126049,109.5021206,-1.2538713,-0.4003296
16,50.0,8,22,78,568,-1.6,31.369800399999995,109.6465085,-1.2517295,-0.4981339
16,50.0,8,37,33,569,-1.6,31.67344407,108.74213600000002,-1.2578873,-0.5762389
16,50.0,8,37,48,570,-1.6,31.50614957,109.0220357,-1.2537599,-0.6895555999999999
16,50.0,8,37,63,571,-1.6,31.37701522,109.2187217,-1.2506739,-0.7966562
16,50.0,8,37,78,572,-1.6,31.27088961,109.3695638,-1.2481995,-0.8998489
16,50.0,8,52,33,573,-1.6,31.58339419,108.5401932,-1.2532354,-0.9622513
16,50.0,8,52,48,574,-1.6,31.4077763,108.8252847,-1.2484218,-1.0863973999999998
16,50.0,8,52,63,575,-1.6,31.27212573,109.0272042,-1.2448087,-1.2010752
16,50.0,8,52,78,576,-1.6,31.16102456,109.1817906,-1.2419052,-1.3097675
16,62.5,2,22,33,85,-1.6,31.07289218,106.574625,-1.2755154,3.116772
16,62.5,2,22,48,86,-1.6,30.90687905,106.8762116,-1.2717431,3.0985712000000003
16,62.5,2,22,63,87,-1.6,30.77240978,107.0893326,-1.2689094,3.0832229
16,62.5,2,22,78,88,-1.6,30.65874024,107.25257279999998,-1.266624,3.0698035
16,62.5,2,37,33,89,-1.6,30.99894557,106.2421516,-1.2732651,2.8547581
16,62.5,2,37,48,90,-1.6,30.82557595,106.5506659,-1.2688298999999998,2.8298341
16,62.5,2,37,63,91,-1.6,30.68567301,106.7703476,-1.265457,2.809091
16,62.5,2,37,78,92,-1.6,30.566868900000006,106.9399899,-1.2627108,2.7911051
16,62.5,2,52,33,93,-1.6,30.91854083,106.021174,-1.2685858,2.5701291
16,62.5,2,52,48,94,-1.6,30.7364593,106.3333976,-1.2632998,2.5374371
16,62.5,2,52,63,95,-1.6,30.58971613,106.5563519,-1.2592393999999998,2.5104668
16,62.5,2,52,78,96,-1.6,30.46519366,106.728921,-1.2559085,2.4872149
16,62.5,4,22,33,253,-1.6,31.63593233,106.5764565,-1.2783391000000002,1.8921526
16,62.5,4,22,48,254,-1.6,31.48299484,106.878062,-1.2746411,1.8285633
16,62.5,4,22,63,255,-1.6,31.36086004,107.0911848,-1.2718738,1.7677573
16,62.5,4,22,78,256,-1.6,31.25790996,107.2544352,-1.2696496000000002,1.7086803
16,62.5,4,37,33,257,-1.6,31.56360318,106.2439852,-1.2765818000000002,1.6131587
16,62.5,4,37,48,258,-1.6,31.40386162,106.5524909,-1.2723223999999995,1.5393447
16,62.5,4,37,63,259,-1.6,31.2762993,106.7721676,-1.2691043,1.4704302
16,62.5,4,37,78,260,-1.6,31.16892224,106.9418066,-1.266499,1.4045985
16,62.5,4,52,33,261,-1.6,31.48522169,106.0230377,-1.2724962,1.3231067
