Run,Final_Score,Best_Params,Best_Objs
Run_86,0.005265434782608658,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 52.0, 'gsg': 78.0}","{'fmax': 112.878895, 'Gain': 1.8075803, 'NF_min': 1.1820918}"
Run_87,0.0038972652173915323,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 63.0}","{'fmax': 112.9103629, 'Gain': 1.8866539, 'NF_min': 1.2074145}"
Run_88,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 78.0}","{'fmax': 113.2528358, 'Gain': 2.5039217000000002, 'NF_min': 1.2149732}"
Run_89,0.01595320262510331,"{'vds': 20.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.76969199999999, 'Gain': 1.9228538, 'NF_min': 1.2231481000000002}"
Run_90,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03196499999999, 'Gain': 2.1717687000000003, 'NF_min': 1.2009048}"
Run_91,0.010496544790812998,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.76766229999998, 'Gain': 2.2610167999999997, 'NF_min': 1.2202093}"
Run_92,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_93,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 113.03358349999999, 'Gain': 1.7485043999999998, 'NF_min': 1.203767}"
Run_94,0.010496544790812998,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.76766229999998, 'Gain': 2.2610167999999997, 'NF_min': 1.2202093}"
Run_95,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_96,0.010496544790812998,"{'vds': 20.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 37.0, 'gsg': 78.0}","{'fmax': 112.76766229999998, 'Gain': 2.2610167999999997, 'NF_min': 1.2202093}"
Run_97,0.0,"{'vds': 16.0, 'nfing': 4.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13791090000002, 'Gain': 2.5913015, 'NF_min': 1.2177373}"
Run_98,0.0,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13205890000002, 'Gain': 1.5018556, 'NF_min': 1.2159672}"
Run_99,0.0,"{'vds': 16.0, 'nfing': 6.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 63.0}","{'fmax': 113.13952040000001, 'Gain': 2.3227147, 'NF_min': 1.2192938}"
Run_100,0.0009021695652179362,"{'vds': 16.0, 'nfing': 2.0, 'wg': 25.0, 'gdg': 22.0, 'gsg': 48.0}","{'fmax': 112.97925009999999, 'Gain': 1.5321122, 'NF_min': 1.2194268999999998}"
