batchNumber,VDS,VGS,Wg,nfing,gdg_val,gsg_val,fT_plt,fmax_plt,nf_min,gain
253,16,-1.6,62.5,4,22,33,31.63593233,106.57645649999999,1.2783391000000002,1.8921526000000002
254,16,-1.6,62.5,4,22,48,31.48299484,106.87806200000001,1.2746411,1.8285633000000001
255,16,-1.6,62.5,4,22,63,31.36086004,107.0911848,1.2718738,1.7677573
256,16,-1.6,62.5,4,22,78,31.25790996,107.25443519999999,1.2696496000000002,1.7086803
257,16,-1.6,62.5,4,37,33,31.56360318,106.2439852,1.2765818000000002,1.6131587
258,16,-1.6,62.5,4,37,48,31.40386162,106.5524909,1.2723223999999997,1.5393447
259,16,-1.6,62.5,4,37,63,31.2762993,106.7721676,1.2691043,1.4704302
260,16,-1.6,62.5,4,37,78,31.16892224,106.94180659999999,1.266499,1.4045985
261,16,-1.6,62.5,4,52,33,31.48522169,106.0230377,1.2724962,1.3231066999999999
262,16,-1.6,62.5,4,52,48,31.31735515,106.3352446,1.2675083999999999,1.238191
263,16,-1.6,62.5,4,52,63,31.18338935,106.5581877,1.2637093000000001,1.1605746000000001
264,16,-1.6,62.5,4,52,78,31.07090523,106.73074840000001,1.2606151,1.0875685
277,16,-1.6,75.0,4,22,33,32.08480338,103.84807420000001,1.3029415000000002,1.3164888000000001
278,16,-1.6,75.0,4,22,48,31.96264652,104.18242120000001,1.2992503999999998,1.2619843000000002
279,16,-1.6,75.0,4,22,63,31.86534073,104.42058440000001,1.2964959999999999,1.2089919
280,16,-1.6,75.0,4,22,78,31.78309454,104.6050124,1.2942870000000002,1.1569724
281,16,-1.6,75.0,4,37,33,32.02214405,103.48178890000001,1.3021824,1.0527544
282,16,-1.6,75.0,4,37,48,31.89438969,103.82163,1.2980534,0.9895958
283,16,-1.6,75.0,4,37,63,31.79230338,104.0651671,1.2949481000000003,0.9298089
284,16,-1.6,75.0,4,37,78,31.706459499999998,104.25341740000002,1.2924428999999997,0.8721798000000001
285,16,-1.6,75.0,4,52,33,31.95552755,103.2402841,1.2992511,0.7811300999999999
286,16,-1.6,75.0,4,52,48,31.82091913,103.5820316,1.2945411,0.7085001
287,16,-1.6,75.0,4,52,63,31.71366935,103.8279967,1.2909735,0.6413463
288,16,-1.6,75.0,4,52,78,31.62340881,104.0194374,1.2880804,0.5776859999999999
301,16,-1.6,87.5,4,22,33,32.48132517,100.94012579999999,1.3319258,0.7294435
302,16,-1.6,87.5,4,22,48,32.38222985,101.30716240000001,1.3281923,0.6830546
303,16,-1.6,87.5,4,22,63,32.30293133,101.5713325,1.3254122,0.6371504
304,16,-1.6,87.5,4,22,78,32.23651062,101.77728590000001,1.3231866,0.5916017
305,16,-1.6,87.5,4,37,33,32.42595178,100.5408554,1.3319287,0.48212910000000003
306,16,-1.6,87.5,4,37,48,32.32185686,100.91133590000001,1.3278471,0.42835070000000003
307,16,-1.6,87.5,4,37,63,32.23889186,101.1780137,1.3247886999999998,0.37669369999999996
308,16,-1.6,87.5,4,37,78,32.16914949,101.38595790000001,1.3223287000000001,0.3264312
309,16,-1.6,87.5,4,52,33,32.36825591,100.279577,1.3298535,0.2292486
310,16,-1.6,87.5,4,52,48,32.25854283,100.64989659999999,1.3252977,0.1673309
311,16,-1.6,87.5,4,52,63,32.1710846,100.9184347,1.3218633,0.10938419999999999
312,16,-1.6,87.5,4,52,78,32.09782157,101.12782109999999,1.3190888,0.0540024
325,16,-1.6,100.0,4,22,33,32.84887654,97.9149873,1.3656173,0.1486126
326,16,-1.6,100.0,4,22,48,32.76787323,98.313448,1.3618024,0.10957629999999999
327,16,-1.6,100.0,4,22,63,32.70303036,98.60237020000001,1.3589666999999999,0.0701659
328,16,-1.6,100.0,4,22,78,32.64874745,98.82904920000001,1.3566996,0.0305895
