batchNum,vds,vgs,wg,nfing,gdg,gsg,Pout,PAE,ACPR,Tj,GainComp,Gain,ACPR_2nd,Psat,PBO,Gain_SS,Pdel_dBm,EVM
93,20,-1.4,25,6,22,78,3.15274,12.42114,-31.87064,66.58261,0.56266,11.32784,-56.58168,26.7478,-8.08995,11.8905,18.65785,8.01286
94,20,-1.4,25,6,52,48,3.24855,12.73236,-31.85574,65.41702,0.46103,11.53486,-56.42196,26.87781,-8.1842,11.99589,18.69361,8.01358
95,20,-1.4,25,6,52,78,3.0686,14.12526,-31.87891,65.49234,0.57792,10.56791,-56.25966,26.63031,-7.32704,11.14583,19.30327,8.01279
96,20,-1.4,25,8,22,33,3.2938,11.46868,-31.65134,66.97893,0.48332,12.42919,-56.73199,28.18728,-8.8012,12.91251,19.38608,8.01296
97,20,-1.4,25,8,22,48,3.24368,12.21566,-31.64756,68.35872,0.52247,12.07182,-56.54082,28.12069,-8.42502,12.59428,19.69566,8.01284
98,20,-1.4,25,8,22,78,3.06494,12.41606,-31.65099,66.52737,0.59418,11.4089,-56.69409,27.87452,-7.9972,12.00308,19.87732,8.01273
99,20,-1.4,25,8,52,48,3.11257,13.95664,-31.64356,65.92644,0.5661,11.17698,-56.06872,27.94149,-7.52235,11.74307,20.41914,8.01286
100,20,-1.4,25,8,52,78,2.85443,14.10724,-31.68267,66.38185,0.66527,10.19609,-56.18738,27.5655,-6.94242,10.86136,20.62308,8.01225
101,20,-1.4,50,2,22,33,3.22614,11.31897,-32.0843,71.61805,0.43111,12.07984,-56.64547,25.08683,-8.76341,12.51095,16.32342,8.01297
102,20,-1.4,50,2,22,48,3.23093,11.67677,-32.08592,71.80715,0.43668,12.00864,-56.4618,25.09328,-8.61877,12.44532,16.47451,8.01278
103,20,-1.4,50,2,22,78,3.24019,12.22543,-32.07784,71.40931,0.44426,11.90311,-56.23747,25.10571,-8.39164,12.34737,16.71407,8.01251
104,20,-1.4,50,2,52,48,3.09666,12.99021,-32.12414,70.25062,0.5686,11.38139,-56.51081,24.90893,-7.86626,11.94999,17.04267,8.01352
105,20,-1.4,50,2,52,78,3.08854,13.73793,-32.11223,68.93198,0.58669,11.15218,-56.25764,24.89754,-7.54457,11.73888,17.35297,8.0131
106,20,-1.4,50,4,22,33,3.18762,11.23856,-31.66985,74.83615,0.44261,11.95608,-56.00466,28.04496,-8.73428,12.3987,19.31068,8.01179
107,20,-1.4,50,4,22,48,3.19429,11.88809,-31.637,75.14157,0.45627,11.82482,-55.76142,28.05405,-8.46452,12.28109,19.58953,8.01176
108,20,-1.4,50,4,22,78,3.20787,13.03166,-31.57123,72.0183,0.49777,11.59678,-55.45243,28.07247,-8.00005,12.09455,20.07242,8.01173
109,20,-1.4,50,4,52,48,3.10688,13.35225,-31.63788,71.08113,0.58226,11.40492,-55.81771,27.93354,-7.74749,11.98718,20.18605,8.01198
110,20,-1.4,50,4,52,78,3.05105,14.11904,-31.62032,70.22207,0.62298,11.01228,-55.6922,27.85479,-7.34884,11.63525,20.50595,8.01184
111,20,-1.4,50,6,22,33,2.92948,12.98101,-31.21521,76.02892,0.60044,11.91993,-55.72437,29.43912,-7.73521,12.52036,21.70391,8.01242
112,20,-1.4,50,6,22,48,2.92458,13.58582,-31.15634,76.40669,0.60425,11.73195,-55.48035,29.43184,-7.49045,12.3362,21.94139,8.01248
113,20,-1.4,50,6,22,78,2.90209,14.50313,-31.06122,73.01653,0.62667,11.38119,-55.04324,29.39832,-7.06762,12.00786,22.3307,8.0125
114,20,-1.4,50,6,52,48,3.18448,12.84105,-31.2181,71.76487,0.55377,11.3786,-55.32496,29.8016,-8.01419,11.93238,21.78741,8.01253
115,20,-1.4,50,6,52,78,3.13753,14.05619,-31.10787,71.11843,0.58256,10.92439,-54.74162,29.73709,-7.43886,11.50694,22.29823,8.01242
116,20,-1.4,50,8,22,33,3.11275,12.07724,-30.85775,77.12613,0.5189,11.95316,-55.11748,30.95204,-8.33062,12.47206,22.62142,8.01308
117,20,-1.4,50,8,22,48,3.13607,13.1371,-30.70994,76.7388,0.51909,11.73981,-54.56025,30.98446,-7.93298,12.2589,23.05147,8.01315
118,20,-1.4,50,8,22,78,3.12824,14.9698,-30.47956,73.78266,0.54993,11.28492,-53.84649,30.9736,-7.21851,11.83485,23.7551,8.01313
119,20,-1.4,50,8,52,48,3.13374,12.16993,-30.83662,72.01628,0.48187,11.3383,-54.73155,30.98124,-8.17226,11.82017,22.80897,8.01299
120,20,-1.4,50,8,52,78,3.08772,14.00176,-30.59176,71.92975,0.50675,10.80138,-53.84287,30.91698,-7.34323,11.30813,23.57375,8.01289
121,20,-1.4,75,2,22,33,3.09433,12.89784,-31.87437,77.99571,0.58063,11.13109,-55.31413,26.66658,-7.83315,11.71172,18.83343,8.01084
122,20,-1.4,75,2,22,48,3.10389,13.22071,-31.85613,77.68679,0.58554,11.08985,-55.13785,26.67997,-7.71147,11.67539,18.9685,8.01078
123,20,-1.4,75,2,22,78,3.13042,13.83522,-31.81808,75.52386,0.60037,11.03128,-54.907,26.71694,-7.4986,11.63165,19.21834,8.01069
124,20,-1.4,75,2,52,48,3.06391,14.08266,-31.85329,74.04861,0.65504,10.8466,-55.2202,26.62367,-7.32126,11.50164,19.30241,8.0115
125,20,-1.4,75,2,52,78,3.07385,14.75783,-31.81944,72.3465,0.67,10.71777,-54.96248,26.63774,-7.06794,11.38777,19.5698,8.01135
126,20,-1.4,75,4,22,33,3.03079,13.85648,-31.18117,81.51787,0.68925,11.07387,-54.7958,29.58677,-7.43811,11.76312,22.14866,8.01102
127,20,-1.4,75,4,22,48,3.04394,14.39638,-31.13535,80.39509,0.70015,10.99418,-54.60816,29.60557,-7.25487,11.69433,22.3507,8.01112
128,20,-1.4,75,4,22,78,3.06377,15.18098,-31.05457,76.28406,0.7189,10.85789,-54.34559,29.63377,-6.96918,11.57679,22.66459,8.01124
129,20,-1.4,75,4,52,48,3.04985,14.6091,-31.07164,76.01302,0.67076,10.68853,-54.06647,29.61399,-7.07322,11.3593,22.54077,8.01128
130,20,-1.4,75,4,52,78,3.04818,15.66223,-30.98744,74.10869,0.69826,10.45788,-53.86522,29.61162,-6.68028,11.15614,22.93134,8.01132
131,20,-1.4,75,6,22,33,2.76827,13.44739,-30.73178,83.83419,0.7451,11.00523,-54.7396,30.95421,-7.20464,11.75033,23.74957,8.01204
132,20,-1.4,75,6,22,48,2.79486,14.14427,-30.60385,81.44765,0.74364,10.89554,-54.28419,30.99573,-6.95006,11.63918,24.04567,8.01224
133,20,-1.4,75,6,22,78,2.79674,15.27454,-30.42417,77.90066,0.75544,10.61711,-53.63812,30.99864,-6.48802,11.37256,24.51062,8.01245
134,20,-1.4,75,6,52,48,2.74289,14.78853,-30.6584,75.42788,0.81071,10.78252,-54.72357,30.91421,-6.65289,11.59323,24.26133,8.01242
135,20,-1.4,75,6,52,78,2.71267,15.42234,-30.53391,73.8329,0.8139,10.4783,-54.26002,30.8661,-6.31759,11.29219,24.54851,8.01261
136,20,-1.4,75,8,22,33,2.66171,14.34634,-30.2823,82.88519,0.79937,11.16215,-54.87416,32.03312,-6.82744,11.95913,25.20568,8.0128
137,20,-1.4,75,8,22,48,2.68586,14.93861,-30.15654,81.41771,0.79486,11.07459,-54.451,32.07235,-6.64354,11.86747,25.42881,8.01315
138,20,-1.4,75,8,22,78,2.68046,15.8373,-29.9568,77.15793,0.7905,10.7729,-53.84028,32.06361,-6.26395,11.56212,25.79965,8.01349
139,20,-1.4,75,8,52,48,2.95179,14.10622,-30.09447,76.64191,0.75956,10.67612,-53.78712,32.48236,-7.1242,11.43569,25.35816,8.01286
140,20,-1.4,75,8,52,78,2.91359,15.33228,-29.85685,74.77201,0.76474,10.26141,-53.08391,32.4258,-6.5579,11.02616,25.8679,8.01312
141,20,-1.4,100,2,22,33,2.81019,15.45629,-31.59078,82.6114,0.82288,10.27421,-54.55302,27.49765,-6.44342,11.09709,21.05423,8.01
142,20,-1.4,100,2,22,48,2.82169,15.73703,-31.57037,81.74107,0.82754,10.25597,-54.46267,27.51539,-6.35823,11.08351,21.15716,8.01
143,20,-1.4,100,2,22,78,2.84718,16.21821,-31.5342,78.8891,0.83784,10.23429,-54.37213,27.55445,-6.22117,11.072,21.33329,8.00998
144,20,-1.4,100,2,52,48,2.7951,15.65956,-31.61601,76.85419,0.85173,10.0839,-54.72055,27.47427,-6.28695,10.93564,21.18731,8.01063
145,20,-1.4,100,2,52,78,2.80734,16.14533,-31.59438,75.04769,0.86363,10.01188,-54.69738,27.49325,-6.13243,10.87551,21.36083,8.01059
146,20,-1.4,100,4,22,33,2.73208,14.9575,-30.83267,87.05686,0.86351,10.11341,-54.05942,30.38553,-6.47515,10.97692,23.91037,8.01056
147,20,-1.4,100,4,22,48,2.75513,15.39949,-30.76747,84.67251,0.86673,10.08021,-53.86113,30.42202,-6.33218,10.94693,24.08984,8.0107
148,20,-1.4,100,4,22,78,2.7812,16.04326,-30.69514,80.37703,0.8779,9.99911,-53.74615,30.46293,-6.12424,10.87702,24.33869,8.0109
149,20,-1.4,100,4,52,48,2.77935,15.96876,-30.70531,78.87496,0.88142,9.96836,-53.71149,30.46003,-6.12907,10.84977,24.33097,8.0109
